Numer systemowy kandydata;PESEL;Nazwisko;Imię;Telefon;E-mail;Ulica;Nr budynku;Nr mieszkania;Kod pocztowy;Imie;Miejscowość;Kod SIMC miejscowości;Gmina;Kod TERC gminy;Powiat;Kod TERC powiatu;Województwo;Kod TERC województwa;Imię i nazwisko matki;Telefon matki;E-mail matki;Ulica matki;Nr budynku matki;Nr mieszkania matki;Kod pocztowy matki;Dzielnica matki;Miejscowość matki;Kod SIMC miejscowości matki;Gmina matki;Kod TERC gminy matki;Powiat matki;Kod TERC powiatu matki;Województwo matki;Kod TERC województwa matki;Imię i nazwisko ojca;Telefon ojca;E-mail ojca;Ulica ojca;Nr budynku ojca;Nr mieszkania ojca;Kod pocztowy ojca;Dzielnica ojca;Miejscowość ojca;Kod SIMC miejscowości ojca;Gmina ojca;Kod TERC gminy ojca;Powiat ojca;Kod TERC powiatu ojca;Województwo ojca;Kod TERC województwa ojca;Rodzaj rejestracji;Orzeczenie o potrzebie kształcenia specjalnego;Orzeczenie o niepełnosprawności;Planowany rok ukończenia gimnazjum;Numer systemowy gimnazjum macierzystego;Gimnazjum aktywne;Nazwa gimnazjum macierzystego;Adres gimnazjum spoza listy;Ulica gimnazjum macierzystego;Nr budynku gimnazjum macierzystego;Kod pocztowy gimnazjum macierzystego;Dzielnica gimnazjum macierzystego;Miejscowość gimnazjum macierzystego;Kod SIMC miejscowości gimnazjum macierzystego;Gmina gimnazjum macierzystego;Kod TERC gminy gimnazjum macierzystego;Powiat gimnazjum macierzystego;Kod TERC powiatu gimnazjum macierzystego;Województwo gimnazjum macierzystego;Kod TERC województwa gimnazjum macierzystego;Numer systemowy organu prowadzącego gimnazjum macierzyste;Nazwa organu prowadzącego gimnazjum macierzyste;Liczba wybranych szkół;Liczba wybranych oddziałów;Stan weryfikacji podania;Stan weryfikacji osiągnięć;Średnia liczba punktów dla wszystkich preferencji;Nazwa szkoły, w której kandydat został zakwalifikowany;Typ szkoły, w której kandydat został zakwalifikowany;Ulica szkoły, w której kandydat został zakwalifikowany;Nr budynku szkoły, w której kandydat został zakwalifikowany;Kod pocztowy szkoły, w której kandydat został zakwalifikowany;Dzielnica szkoły, w której kandydat został zakwalifikowany;Miejscowość szkoły, w której kandydat został zakwalifikowany;Kod SIMC miejscowości szkoły, w której kandydat został zakwalifikowany;Gmina szkoły, w której kandydat został zakwalifikowany;Kod TERC gminy szkoły, w której kandydat został zakwalifikowany;Powiat szkoły, w której kandydat został zakwalifikowany;Kod TERC powiatu szkoły, w której kandydat został zakwalifikowany;Województwo szkoły, w której kandydat został zakwalifikowany;Kod TERC województwa szkoły, w której kandydat został zakwalifikowany;Numer systemowy oddziału, w którym kandydat został zakwalifikowany;(Symbol) Nazwa oddziału, w którym kandydat został zakwalifikowany;Liczba punktów z jaką kandydat został zakwalifikowany;Numer systemowy organu prowadzącego szkołę przyjęcia;Nazwa organu prowadzącego szkołę przyjęcia;Nazwa szkoły, w której kandydat został przyjęty;Typ szkoły, w której kandydat został przyjęty;Ulica szkoły, w której kandydat został przyjęty;Nr budynku szkoły, w której kandydat został przyjęty;Kod pocztowy szkoły, w której kandydat został przyjęty;Dzielnica szkoły, w której kandydat został przyjęty;Miejscowość szkoły, w której kandydat został przyjęty;Kod SIMC miejscowości szkoły, w której kandydat został przyjęty;Gmina szkoły, w której kandydat został przyjęty;Kod TERC gminy szkoły, w której kandydat został przyjęty;Powiat szkoły, w której kandydat został przyjęty;Kod TERC powiatu szkoły, w której kandydat został przyjęty;Województwo szkoły, w której kandydat został przyjęty;Kod TERC województwa szkoły, w której kandydat został przyjęty;Numer systemowy oddziału, w którym kandydat został przyjęty;(Symbol) Nazwa oddziału, w którym kandydat został przyjęty;Nazwa zawodu;Liczba punktów z jaką kandydat został przyjęty;Tryb przyjęcia;Inny powód przyjęcia;Identyfikator szkoły źródłowej;polski;angielski;niemiecki;francuski;wloski;hiszpanski;rosyjski;matematyka;fizyka;informatyka;historia;biologia;chemia;geografia;wos;zajęcia techniczne;zajęcia artystyczne;edukacja dla bezpieczeństwa;plastyka;muzyka;wf;religia/etyka;zachowanie;Świadectwo z wyróżnieniem;Wynik egzaminu gimnazjalnego z języka polskiego;Wynik egzaminu gimnazjalnego z matematyki;Wynik egzaminu gimnazjalnego z historii i wosu;Wynik egzaminu gimnazjalnego z przedmiotów przyrodniczych;Wynik egzaminu gimnazjalnego z języka obcego na poziomie podstawowym;Wynik egzaminu gimnazjalnego z języka obcego na poziomie rozszerzonym;Status olimpijczyka;Status laureata
5982;66666666666;Matusiak;Jakub;666666666;null;ulica1;18;;98-170;brak;Widawa;717689;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;18;;98-170;brak;Widawa;717689;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;18;;98-170;brak;Widawa;717689;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;305;tak;Publiczne Gimnazjum w Widawie;;Wieluńska 17;17;98-170;brak;Widawa;717689;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;90;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);94;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;94;Przyjęcie w ramach przydziału;;;2;3;null;null;null;null;3;3;3;5;3;3;3;3;3;4;5;3;4;5;6;null;4;nie;69;48;66;57;70;53;nie;nie
5988;66666666666;Pilarski;Adrian;666666666;null;ulica1;25;;98-170;brak;Zborów;717867;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;25;;98-170;brak;Zborów;717867;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;25;;98-170;brak;Zborów;717867;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;305;tak;Publiczne Gimnazjum w Widawie;;Wieluńska 17;17;98-170;brak;Widawa;717689;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;2;2;podanie zaakceptowane;osiągnięcia zaakceptowane;92,8;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);92.8;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;92.8;Przyjęcie w ramach przydziału;;;3;3;null;null;null;null;3;3;3;5;3;3;3;3;4;4;3;3;3;4;6;null;4;nie;53;48;69;46;78;48;nie;nie
5344;66666666666;Sobczak;Maciej Dawid;666666666;null;ulica1;9;;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;9;;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Rejestrowany przez gimnazjum;nie;nie;2015;304;tak;Publiczne Gimnazjum nr 1 w Sędziejowicach;;Powstańców 1863 r.;6;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;2;3;podanie zaakceptowane;osiągnięcia zaakceptowane;92,6;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);92.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;92.6;Przyjęcie w ramach przydziału;;;3;3;3;null;null;null;null;3;3;4;4;3;3;3;4;5;4;4;5;3;6;3;3;nie;56;41;72;61;58;20;nie;nie
15778;66666666666;Gajda;Jan;666666666;null;ulica1;4;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;imie matki;;;ulica1;4;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;imie ojca;;;ulica1;4;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;Rejestracja samodzielna;nie;nie;2015;203;nie;Publiczne Gimnazjum nr 2 w Zduńskiej Woli;;Łaska;84;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;22;Starostwo Powiatowe w Zduńskiej Woli;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;88,93333333;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);91.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;91.6;Przyjęcie w ramach przydziału;;;3;3;3;null;null;null;null;3;3;4;3;3;3;3;3;4;5;4;4;3;5;4;4;nie;50;28;81;54;70;45;nie;nie
5928;66666666666;Nieborak;Mateusz Arkadiusz;666666666;null;ulica1;5a;;98-113;brak;Buczek;700387;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;5a;;98-113;brak;Buczek;700387;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;5a;;98-113;brak;Buczek;700387;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;306;tak;Gimnazjum Publiczne w Buczku;;Szkolna;3a;98-113;brak;Buczek;700387;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;1;2;podanie zaakceptowane;osiągnięcia zaakceptowane;90,6;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);90.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;90.6;Przyjęcie w ramach przydziału;;;3;3;2;null;null;null;null;3;3;5;3;3;3;3;3;4;5;3;3;4;4;4;4;nie;44;48;56;50;85;45;nie;nie
5929;66666666666;Oklejak;Damian;666666666;null;ulica1;9;;98-113;brak;Czestków F;700507;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;9;;98-113;brak;Czestków F;700507;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;9;;98-113;brak;Czestków F;700507;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;306;tak;Gimnazjum Publiczne w Buczku;;Szkolna;3a;98-113;brak;Buczek;700387;Buczek;1003012;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;87,93333333;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);90.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;90.6;Przyjęcie w ramach przydziału;;;3;3;3;null;null;null;null;3;3;4;3;3;3;3;3;4;3;3;3;3;5;3;3;nie;50;62;50;61;55;null;nie;nie
17219;66666666666;Tomczyk;Kamil;666666666;null;ulica1;43;;98-200;brak;Czartki;713415;Sieradz;1014082;sieradzki;1014;ŁÓDZKIE;10;imie matki;;;ulica1;43;;98-200;brak;Czartki;713415;Sieradz;1014082;sieradzki;1014;ŁÓDZKIE;10;imie ojca;;;ulica1;43;;98-200;brak;Czartki;713415;Sieradz;1014082;sieradzki;1014;ŁÓDZKIE;10;Rejestracja samodzielna;nie;nie;brak danych;161;nie;Publiczne Gimnazjum Gminy Sieradz;;Armii Krajowej;5;98-200;brak;Sieradz;976050;Sieradz;1014011;sieradzki;1014;ŁÓDZKIE;10;18;Starostwo Powiatowe w Sieradzu;2;6;podanie zaakceptowane;osiągnięcia zaakceptowane;87,93333333;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);90.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;90.6;Przyjęcie w ramach przydziału;;;2;3;3;null;null;null;null;3;4;4;2;2;2;3;3;5;4;3;2;3;5;3;5;nie;50;62;66;50;70;60;nie;nie
18422;66666666666;Chołys;Artur Robert;666666666;null;ulica1;19;;98-220;brak;Rębieskie;721998;Zduńska Wola;1019042;zduńskowolski;1019;ŁÓDZKIE;10;imie matki;;;ulica1;19;;98-220;brak;Rębieskie;721998;Zduńska Wola;1019042;zduńskowolski;1019;ŁÓDZKIE;10;imie ojca;;;ulica1;19;;98-220;brak;Rębieskie;721998;Zduńska Wola;1019042;zduńskowolski;1019;ŁÓDZKIE;10;Rejestracja samodzielna;nie;nie;2015;208;nie;Gminne Gimnazjum w Czechach;;;142;98-220;brak;Czechy;721567;Zduńska Wola;1019042;zduńskowolski;1019;ŁÓDZKIE;10;22;Starostwo Powiatowe w Zduńskiej Woli;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;84,4;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);90.4;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;90.4;Przyjęcie w ramach przydziału;;;2;2;null;null;null;null;2;4;3;4;2;3;2;2;2;4;4;5;4;4;3;4;5;nie;63;59;69;71;35;15;nie;nie
17467;66666666666;Nowak;Wojciech Stanisław;666666666;null;ulica1;1;;98-275;brak;Bronisławów;699767;Brzeźnio;1014042;sieradzki;1014;ŁÓDZKIE;10;imie matki;;;ulica1;1;;98-275;brak;Bronisławów;699767;Brzeźnio;1014042;sieradzki;1014;ŁÓDZKIE;10;imie ojca;;;ulica1;1;;98-275;brak;Bronisławów;699767;Brzeźnio;1014042;sieradzki;1014;ŁÓDZKIE;10;Rejestracja samodzielna;nie;nie;2015;162;nie;Publiczne Gimnazjum w Brzeźniu (Sieradz);;Szkolna;2;98-275;brak;Sieradz;976050;Sieradz;1014011;sieradzki;1014;ŁÓDZKIE;10;18;Starostwo Powiatowe w Sieradzu;3;8;podanie zaakceptowane;osiągnięcia zaakceptowane;87,55;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);89.8;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;89.8;Przyjęcie w ramach przydziału;;;3;3;3;null;null;null;null;3;3;5;4;3;2;4;4;2;5;6;3;4;4;5;6;nie;69;48;53;39;70;25;nie;nie
18567;66666666666;Hauss;Kacper Krzysztof;666666666;null;ulica1;21;6;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;imie matki;;;ulica1;21;6;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;imie ojca;;;ulica1;60A;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;Rejestracja samodzielna;nie;nie;brak danych;5;nie;Gimnazjum nr 5;;ul. Sienkiewicza;117;90-301;brak;Łódź;957650;Łódź;1061011;Łódź;1061;ŁÓDZKIE;10;1;Urząd Miasta Łodzi (Wydział Edukacji);3;4;podanie zaakceptowane;osiągnięcia zaakceptowane;91,1;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);89.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;89.6;Przyjęcie w ramach przydziału;;;3;5;4;null;null;null;null;3;3;4;3;4;4;3;3;3;3;4;5;2;0;3;4;nie;44;38;72;46;88;80;nie;nie
7913;66666666666;Klamecki;Jakub Józef;666666666;null;ulica1;5;;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;imie ojca;;;ulica1;5;;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;304;tak;Publiczne Gimnazjum nr 1 w Sędziejowicach;;Powstańców 1863 r.;6;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;3;5;podanie zaakceptowane;osiągnięcia zaakceptowane;88,8;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);89.4;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;89.4;Przyjęcie w ramach przydziału;;;2;4;4;null;null;null;null;2;3;5;3;3;3;3;3;4;4;4;4;4;6;3;5;nie;66;52;78;61;55;20;nie;nie
5946;66666666666;Domagała;Bartłomiej Stanisław;666666666;null;ulica1;48;;98-170;brak;Grabówie;717318;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;48;;98-170;brak;Grabówie;717318;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;48;;98-170;brak;Grabówie;717318;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;305;tak;Publiczne Gimnazjum w Widawie;;Wieluńska 17;17;98-170;brak;Widawa;717689;Widawa;1003042;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;87,26666667;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);88.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;88.6;Przyjęcie w ramach przydziału;;;3;3;null;null;null;null;4;3;3;4;4;3;3;3;4;4;3;4;3;4;6;null;3;nie;69;34;56;39;70;50;nie;nie
8091;66666666666;Biernat;Patryk;666666666;null;ulica1;73;;99-232;brak;Zygry;721001;Zadzim;1011062;poddębicki;1011;ŁÓDZKIE;10;imie matki;;;ulica1;73;;99-232;brak;Zygry;721001;Zadzim;1011062;poddębicki;1011;ŁÓDZKIE;10;imie ojca;;;ulica1;73;;99-232;brak;Zygry;721001;Zadzim;1011062;poddębicki;1011;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;353;tak;Gimnazjum w Zygrach;;;71;99-232;brak;Zygry;721001;Zadzim;1011062;poddębicki;1011;ŁÓDZKIE;10;28;Starostwo Powiatowe w Poddębicach;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;86,53333333;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);85.2;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;85.2;Przyjęcie w ramach przydziału;;;2;3;3;null;null;null;null;3;3;4;2;3;3;3;4;5;5;5;4;4;5;4;5;nie;59;52;63;57;45;28;nie;nie
5351;66666666666;Ułański;Filip;666666666;null;ulica1;10a;;98-160;brak;Wola Wężykowa;712485;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;imie matki;;;ulica1;10a;;98-160;brak;Wola Wężykowa;712485;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;imie ojca;;;ulica1;10a;;98-160;brak;Wola Wężykowa;712485;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;Rejestrowany przez gimnazjum;nie;nie;2015;304;tak;Publiczne Gimnazjum nr 1 w Sędziejowicach;;Powstańców 1863 r.;6;98-160;brak;Sędziejowice;712410;Sędziejowice;1003032;łaski;1003;ŁÓDZKIE;10;25;Powiat Łaski;3;3;podanie zaakceptowane;osiągnięcia zaakceptowane;80,6;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);82.6;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;82.6;Przyjęcie w ramach przydziału;;;3;3;3;null;null;null;null;4;3;5;4;3;4;3;4;4;5;3;3;4;4;4;5;nie;53;48;44;43;35;10;nie;nie
15679;66666666666;Krawczyk;Szymon Mikołaj;666666666;null;ulica1;17;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;imie matki;;;ulica1;17;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;imie ojca;;;ulica1;17;;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;Rejestracja samodzielna;nie;nie;brak danych;3;nie;Gimnazjum nr 3;;ul. Zacisze;09.lip;90-228;brak;Łódź;957650;Łódź;1061011;Łódź;1061;ŁÓDZKIE;10;1;Urząd Miasta Łodzi (Wydział Edukacji);2;3;podanie zaakceptowane;osiągnięcia zaakceptowane;79,73333333;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);78.4;22;Starostwo Powiatowe w Zduńskiej Woli;Technikum nr 2 (ZSE) w Zduńskiej Woli;technikum;ul. Łaska;61;98-220;brak;Zduńska Wola;976675;Zduńska Wola;1019011;zduńskowolski;1019;ŁÓDZKIE;10;313;(1(a+b)TE) Technik elektronik (ang*-niem*);Technik elektronik;78.4;Przyjęcie w ramach przydziału;;;3;3;4;null;null;null;null;4;3;5;3;3;3;4;4;4;5;5;5;5;5;4;6;nie;41;41;44;46;15;15;nie;nie
